Campaign;Clicks;Costs (in dollars);Costs (indollars);Month
FRUIT LOGISTICA 2018;0;0.0;;01.01.2017
FRUIT LOGISTICA 2018;0;0.0;;01.08.2017
FRUIT LOGISTICA 2018;0;0.0;;01.09.2017
Aktionen_BMM;0;0.0;;01.06.2017
Aktionen_BMM;9;Jun 48;;01.09.2017
Aktionen_EX;0;0.0;;01.04.2017
Aktionen_EX;0;0.0;;01.06.2017
Aktionen_EX;1;0.51;;01.08.2017
Suppe mit Sinn_BMM;0;0.0;;01.04.2017
Suppe mit Sinn_BMM;0;0.0;;01.08.2017
IGW 2018;0;0.0;;01.06.2017
Suppe mit Sinn_BMM;0;0.0;;01.02.2017
Suppe mit Sinn_BMM;0;0.0;;01.07.2017
Suppe mit Sinn_BMM;0;0.0;;01.10.2017
Lebensmittel_EX;0;0.0;;01.05.2017
Kinder_BMM;0;0.0;;01.01.2017
Spenden_BMM;0;0.0;;01.02.2017
Ehrenamt_EX;0;0.0;;01.05.2017
Ehrenamt_EX;0;0.0;;01.07.2017
Spenden_EX;1;0.67;;01.09.2017
Lebensmittel_EX;4;Jan 97;;01.09.2017
Kinder_BMM;0;0.0;;01.03.2017
Kinder_BMM;3;0.64;;01.08.2017
Kinder_BMM;2;0.34;;01.11.2017
Spenden_BMM;17;16.79;;01.07.2017
Spenden_BMM;29;31. Aug;;01.09.2017
Spenden_BMM;27;31.35;;01.10.2017
Eigenname_BMM;88;66.82;;01.05.2017
Lebensmittel_BMM;5;Apr 76;;01.11.2017
Kinder_EX;3;02. Mai;;01.08.2017
Kinder_EX;1;0.95;;01.09.2017
Eigenname_BMM;0;0.0;;01.02.2017
Eigenname_BMM;227;140.11;;01.09.2017
Eigenname_BMM;201;114.45;;01.10.2017
Lebensmittel_BMM;0;0.0;;01.04.2017
Lebensmittel_BMM;0;0.0;;01.06.2017
Lebensmittel_BMM;8;Jul 63;;01.07.2017
Kinder_EX;0;0.0;;01.02.2017
Ehrenamt_BMM;0;0.0;;01.04.2017
Ehrenamt_BMM;0;0.0;;01.06.2017
FRUIT LOGISTICA 2018;0;0.0;;01.05.2017
FRUIT LOGISTICA 2018;0;0.0;;01.12.2017
Ehrenamt_BMM;0;0.0;;01.01.2017
Ehrenamt_BMM;94;132.36;;01.08.2017
Ehrenamt_BMM;139;191.78;;01.10.2017
Aktionen_BMM;0;0.0;;01.01.2017
Aktionen_BMM;0;0.0;;01.04.2017
Aktionen_EX;2;0.89;;01.11.2017
Suppe mit Sinn_BMM;0;0.0;;01.01.2017
Suppe mit Sinn_BMM;0;0.0;;01.03.2017
Suppe mit Sinn_BMM;0;0.0;;01.05.2017
Suppe mit Sinn_BMM;26;29.24;;01.11.2017
Eigenname_EX;0;0.0;;01.03.2017
Eigenname_EX;0;0.0;;01.04.2017
Ehrenamt_EX;0;0.0;;01.06.2017
Ehrenamt_EX;2;Jan 72;;01.09.2017
Spenden_EX;0;0.0;;01.02.2017
Spenden_EX;0;0.0;;01.03.2017
Spenden_EX;0;0.0;;01.07.2017
Lebensmittel_EX;0;0.0;;01.01.2017
Lebensmittel_EX;0;0.0;;01.04.2017
Lebensmittel_EX;1;0.03;;01.07.2017
Spenden_BMM;0;0.0;;01.01.2017
Spenden_BMM;0;0.0;;01.03.2017
Spenden_BMM;12;Dez 27;;01.08.2017
Eigenname_EX;124;30.89;;01.06.2017
Eigenname_EX;340;130.02;;01.12.2017
Spenden_EX;0;0.0;;01.01.2017
Spenden_EX;0;0.0;;01.04.2017
Kinder_BMM;5;Jan 89;;01.07.2017
Spenden_BMM;0;0.0;;01.04.2017
Eigenname_BMM;0;0.0;;01.03.2017
Lebensmittel_BMM;0;0.0;;01.01.2017
Lebensmittel_BMM;0;0.0;;01.05.2017
Kinder_EX;0;0.0;;01.06.2017
Kinder_EX;4;Jan 34;;01.10.2017
Eigenname_BMM;0;0.0;;01.04.2017
Lebensmittel_BMM;0;0.0;;01.02.2017
Kinder_EX;0;0.0;;01.01.2017
Kinder_EX;0;0.0;;01.12.2017
Ehrenamt_BMM;0;0.0;;01.05.2017
Ehrenamt_BMM;112;158.87;;01.11.2017
FRUIT LOGISTICA 2018;0;0.0;;01.04.2017
Aktionen_BMM;0;0.0;;01.03.2017
Aktionen_BMM;0;0.0;;01.07.2017
Aktionen_BMM;6;Apr 45;;01.11.2017
Aktionen_EX;0;0.0;;01.02.2017
Aktionen_EX;4;Jan 73;;01.10.2017
FRUIT LOGISTICA 2018;0;0.0;;01.02.2017
FRUIT LOGISTICA 2018;0;0.0;;01.03.2017
Aktionen_BMM;9;Mai 97;;01.10.2017
Aktionen_EX;0;0.0;;01.03.2017
Aktionen_EX;3;Jan 22;;01.09.2017
Aktionen_EX;0;0.0;;01.12.2017
Suppe mit Sinn_BMM;0;0.0;;01.06.2017
Suppe mit Sinn_BMM;11;Dez 16;;01.12.2017
IGW 2018;0;0.0;;01.01.2017
IGW 2018;0;0.0;;01.03.2017
IGW 2018;0;0.0;;01.04.2017
IGW 2018;0;0.0;;01.09.2017
IGW 2018;0;0.0;;01.12.2017
Eigenname_EX;141;44.15;;01.07.2017
Ehrenamt_EX;0;0.0;;01.02.2017
Spenden_EX;5;Jan 48;;01.05.2017
Spenden_EX;0;0.0;;01.08.2017
Lebensmittel_EX;1;Jan 15;;01.10.2017
Lebensmittel_EX;2;Jan 36;;01.12.2017
Kinder_BMM;0;0.0;;01.06.2017
Kinder_BMM;1;0.04;;01.12.2017
Eigenname_EX;0;0.0;;01.01.2017
Eigenname_EX;189;51.26;;01.08.2017
Eigenname_EX;215;56.96;;01.09.2017
Eigenname_EX;366;137.79;;01.11.2017
Ehrenamt_EX;0;0.0;;01.03.2017
Ehrenamt_EX;1;1.0;;01.08.2017
Ehrenamt_EX;0;0.0;;01.12.2017
Spenden_EX;1;0.08;;01.10.2017
Spenden_EX;0;0.0;;01.12.2017
Lebensmittel_EX;0;0.0;;01.03.2017
Lebensmittel_EX;0;0.0;;01.06.2017
Lebensmittel_EX;3;Feb 77;;01.11.2017
Kinder_BMM;0;0.0;;01.05.2017
Kinder_BMM;6;Feb 93;;01.10.2017
Spenden_BMM;19;21.19;;01.11.2017
Eigenname_BMM;55;36.45;;01.07.2017
Eigenname_BMM;162;111.31;;01.08.2017
Kinder_EX;0;0.0;;01.07.2017
Eigenname_BMM;0;0.0;;01.01.2017
Eigenname_BMM;83;59.2;;01.06.2017
Eigenname_BMM;305;182.63;;01.11.2017
Lebensmittel_BMM;15;13.66;;01.08.2017
Kinder_EX;0;0.0;;01.03.2017
Kinder_EX;7;0.74;;01.11.2017
FRUIT LOGISTICA 2018;0;0.0;;01.10.2017
Aktionen_BMM;0;0.0;;01.05.2017
Aktionen_EX;0;0.0;;01.07.2017
FRUIT LOGISTICA 2018;0;0.0;;01.07.2017
Aktionen_BMM;0;0.0;;01.12.2017
IGW 2018;0;0.0;;01.02.2017
Suppe mit Sinn_BMM;0;0.0;;01.09.2017
IGW 2018;0;0.0;;01.05.2017
IGW 2018;0;0.0;;01.07.2017
IGW 2018;0;0.0;;01.08.2017
IGW 2018;0;0.0;;01.10.2017
IGW 2018;0;0.0;;01.11.2017
Eigenname_EX;0;0.0;;01.02.2017
Eigenname_EX;52;19.17;;01.05.2017
Ehrenamt_EX;0;0.0;;01.04.2017
Spenden_EX;1;0.94;;01.06.2017
Spenden_EX;2;01. Nov;;01.11.2017
Lebensmittel_EX;0;0.0;;01.08.2017
Spenden_BMM;7;Aug 65;;01.05.2017
Spenden_BMM;21;22.61;;01.06.2017
Eigenname_EX;226;69.82;;01.10.2017
Ehrenamt_EX;0;0.0;;01.01.2017
Ehrenamt_EX;5;Mrz 92;;01.10.2017
Ehrenamt_EX;1;0.34;;01.11.2017
Lebensmittel_EX;0;0.0;;01.02.2017
Kinder_BMM;0;0.0;;01.02.2017
Kinder_BMM;0;0.0;;01.04.2017
Kinder_BMM;7;Mrz 14;;01.09.2017
Spenden_BMM;6;Mrz 46;;01.12.2017
